Código,Grupo
0604010010,2
0604010028,2
0604010036,2
0604010044,2
0604010052,2
0604010060,2
0604010079,2
0604010087,Sem Informação
0604010095,2
0604010109,2
0604020023,1A
0604020031,1A
0604020040,1B
0604020058,1B
0604030037,1A
0604030045,1A
0604030053,1A
0604030061,1A
0604040024,2
0604040040,2
0604040059,2
0604040067,2
0604040075,Sem Informação
0604050038,2
0604050046,2
0604050070,2
0604050097,2
0604080026,2
0604090013,2
0604100019,1A
0604110014,1B
0604110022,1B
0604110030,1B
0604110049,1B
0604110057,1B
0604110065,1B
0604120010,1B
0604130015,1A
0604130023,1A
0604130031,1A
0604130040,1A
0604130058,1A
0604130066,1A
0604130082,1A
0604130090,1A
0604130104,1A
0604130112,2
0604130120,1A
0604130139,1A
0604140029,1B
0604160054,2
0604160062,2
0604180012,2
0604190018,2
0604200013,1B
0604210019,1A
0604210027,1A
0604220014,2
0604230010,1A
0604230028,1A
0604230036,1A
0604230044,1A
0604230052,1A
0604230060,1A
0604230079,1A
0604230087,1A
0604240023,1A
0604240031,1A
0604240058,1A
0604240066,1A
0604240074,1A
0604240082,1A
0604240090,1A
0604240104,1A
0604240112,1A
0604240120,1A
0604250010,1A
0604250037,1B
0604250045,1B
0604260016,1B
0604270020,2
0604270054,2
0604280068,2
0604280076,Sem Informação
0604290020,1A
0604290039,1A
0604290063,1A
0604290071,1A
0604290080,1A
0604310056,1A
0604320019,1A
0604320035,1A
0604320043,1A
0604320051,1A
0604320060,1A
0604320078,1A
0604320086,1A
0604320094,1A
0604320116,1A
0604320132,1A
0604320159,1A
0604320167,1A
0604320175,1A
0604320183,1A
0604320191,1A
0604320205,1A
0604320213,1A
0604320221,1A
0604330014,1B
0604330022,2
0604330030,1B
0604330065,1B
0604330111,1B
0604330120,1B
0604340028,2
0604340036,2
0604340044,2
0604340052,2
0604340060,1A
0604340079,1A
0604350015,1A
0604350023,1A
0604350031,1A
0604360010,2
0604360029,2
0604360037,2
0604360045,2
0604370032,1A
0604380011,1A
0604380020,1A
0604380038,1A
0604380046,1A
0604380054,1A
0604380062,Sem Informação
0604380070,1A
0604380089,1A
0604380100,1A
0604380119,1A
0604380127,1A
0604380135,Sem Informação
0604390084,1A
0604390092,1A
0604390106,1A
0604390114,1A
0604400012,1A
0604410018,2
0604410026,2
0604420013,2
0604430019,2
0604440014,1A
0604470029,1A
0604470045,1A
0604470053,1A
0604480016,1B
0604480024,1B
0604490011,1A
0604500017,2
0604500025,Sem Informação
0604500033,2
0604500041,2
0604500050,2
0604500068,2
0604500076,2
0604500084,2
0604500092,1A
0604500106,1A
0604500114,1A
0604500122,1A
0604500130,1A
0604500149,1A
0604510012,1B
0604510039,1B
0604510047,1B
0604520026,1A
0604530013,2
0604530021,1A
0604530030,1A
0604540019,1A
0604540027,1A
0604540035,1A
0604540043,1A
0604540060,1A
0604540078,1A
0604540086,1A
0604550014,1A
0604550022,1A
0604560010,1B
0604570031,2
0604580010,1B
0604580029,1B
0604590016,2
0604590024,2
0604600011,1B
0604600020,1B
0604610017,1A
0604610025,1A
0604620039,2
0604630026,1A
0604630042,1B
0604630050,1B
0604630069,1B
0604630077,1A
0604650019,1A
0604650027,1A
0604650035,1A
0604660014,2
0604660022,2
0604670010,2
0604680023,Sem Informação
0604680031,1A
0604680040,1A
0604680066,Sem Informação
0604690010,1A
0604690029,1A
0604690037,1A
0604690045,1A
0604690053,1A
0604700016,2
0604710011,2
0604710020,2
0604740018,Sem Informação
0604750013,1B
0604750021,1B
0604750030,1B
0604750048,1B
0604770014,1A
0604770022,1A
0604770030,1A
0604780010,1A
0604780028,1A
0604780036,1B
0604780044,1A
0604780052,1A
0604790015,1A
0604790023,1A
0604800010,1A
0604800029,1A
0604810016,1A
0604820011,2
0604830017,1B
0604830025,1B
0604830033,1B
0604840012,1B
0604840020,1B
0604850018,1B
0604850026,1B
0604850034,1B
0604850042,1B
0604860021,1A
0604860030,1A
0604870019,1A
0604870027,1A
0604870035,1A
0604870043,1A
